Year,All_persons,Excellent,Very_good,Good,Fair,Poor
2016,323142,105160,104470,78305,26353,8267
2015,321423,105933,100850,80298,25913,7794
2014,318440,103482,102672,77142,26230,8397
2013,315722,102014,102881,76550,25506,8325
2012,313490,99661,100372,78157,25490,9244
2011,311126,101220,99286,77131,24903,8121
2010,308574,98842,100645,75688,24143,8586
2009,306661,97413,98518,77105,24505,8679
2008,304376,99847,97201,73062,24840,8895
2007,301309,97644,98010,73948,23363,7854
2006,299267,91791,99115,76856,22638,8362
2005,296185,90878,97448,75707,23118,8553
2004,293527,91005,94018,76102,23250,8679
2003,290604,89652,95396,73961,22637,8364
2002,288182,88984,95184,72551,22411,8555
